"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2215","I'm Tiana. Discover which #Disney princess you are! Ì†ΩÌ±ë 

START QUIZ: https://t.co/gGWZ7K3rTv https://t.co/BDyUrSNYd2",FALSE,0,NA,2017-02-14 14:59:41,FALSE,NA,"831518279294390273",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Princess  Ì†ΩÌ±ë</a>","kennedyyembry",0,FALSE,FALSE,NA,NA
"2216","Who remembers DTV? Disney's DTV #Valentine ""Hello"" https://t.co/rvPJBehXt4 via @YouTube
#Disney #80s #cartoon #retro #MusicVideo",FALSE,0,NA,2017-02-14 14:56:14,FALSE,NA,"831517412289753092",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MixInAPinch",0,FALSE,FALSE,NA,NA
"2217","#pooh #disney https://t.co/wuhyfAshXR",FALSE,0,NA,2017-02-14 14:55:29,FALSE,NA,"831517222174552064",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","boxpresshughes",0,FALSE,FALSE,NA,NA
"2218","#pooh #disney https://t.co/UK0mKVlnE2",FALSE,0,NA,2017-02-14 14:54:31,FALSE,NA,"831516980347760641",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","boxpresshughes",0,FALSE,FALSE,NA,NA
"2219","#pooh #disney https://t.co/1CdQCJo4T2",FALSE,0,NA,2017-02-14 14:53:51,FALSE,NA,"831516810436448256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","boxpresshughes",0,FALSE,FALSE,NA,NA
"2220","RT @POPSUGARMoms: This gender reveal photo shoot is what #Disney dreams are made of https://t.co/8gr3bJGSw5 https://t.co/FKzqknDUxS",FALSE,0,NA,2017-02-14 14:53:36,FALSE,NA,"831516747777839105",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MamaCurtiss",3,TRUE,FALSE,NA,NA
"2221","RT @POPSUGARMoms: This gender reveal photo shoot is what #Disney dreams are made of https://t.co/8gr3bJGSw5 https://t.co/FKzqknDUxS",FALSE,0,NA,2017-02-14 14:49:54,FALSE,NA,"831515816147484672",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","YourBestMomTips",3,TRUE,FALSE,NA,NA
"2222","This gender reveal photo shoot is what #Disney dreams are made of https://t.co/8gr3bJGSw5 https://t.co/FKzqknDUxS",FALSE,4,NA,2017-02-14 14:49:04,FALSE,NA,"831515606574911489",NA,"<a href=""http://www.onsugar.com"" rel=""nofollow"">OnSugar.com</a>","POPSUGARMoms",3,FALSE,FALSE,NA,NA
"2223","Disney World rolling out MagicBand 2 gear https://t.co/yWuZ7UWHai #wearabletech #disney",FALSE,0,NA,2017-02-14 14:48:55,FALSE,NA,"831515570054893568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heidielehmann",1,FALSE,FALSE,NA,NA
"2224","Minnie Mouse Character Beanie
https://t.co/tR09dNnTXc
#minniemouse #Disney #kids #magickingdom #ears #Disneyland‚Ä¶ https://t.co/Lmw95UVim2",FALSE,0,NA,2017-02-14 14:48:24,TRUE,NA,"831515440904040454",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mamasboycrochet",0,FALSE,FALSE,NA,NA
"2225","#Trump2016 Disney Says Bye-Bye To PewDiePie https://t.co/9Jm9Ig3744 #DCTrawler #AltRight #Disney #HillaryForPrison https://t.co/quhfqytjKw",FALSE,0,NA,2017-02-14 14:48:19,FALSE,NA,"831515418133090305",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","R_Wing_News",0,FALSE,FALSE,NA,NA
"2226","Today‚Äôs warm-up sketch is dedicated to my magical #Valentine and fellow #Disney fan :) xoxo https://t.co/ns9Y4ebspY",FALSE,2,NA,2017-02-14 14:46:13,FALSE,NA,"831514891932532738",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","copetoons",0,FALSE,FALSE,NA,NA
